epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,5833.79,1.10377,1.25585,1.30742,0.68576,0.61442,0.65248,0.50078,1.31996,1.53673,1.47007,0.008086,0.008086,0.008086
60,5931.72,1.09535,1.24521,1.30081,0.69537,0.63272,0.65707,0.51112,1.32878,1.49435,1.47015,0.008053,0.008053,0.008053
61,6029.66,1.08253,1.22343,1.29808,0.63264,0.65572,0.64597,0.50642,1.32595,1.51874,1.4851,0.00802,0.00802,0.00802
62,6127.73,1.10242,1.23188,1.29985,0.68917,0.6398,0.66734,0.51097,1.3137,1.48464,1.4652,0.007987,0.007987,0.007987
63,6225.68,1.06211,1.18869,1.27805,0.67035,0.65021,0.66854,0.52238,1.29386,1.47911,1.44742,0.007954,0.007954,0.007954
64,6324.32,1.07155,1.19839,1.28731,0.69396,0.63805,0.66444,0.50365,1.3228,1.46657,1.48524,0.007921,0.007921,0.007921
65,6421.11,1.06574,1.17654,1.27893,0.70701,0.65692,0.67579,0.51972,1.31471,1.46237,1.46387,0.007888,0.007888,0.007888
66,6518.96,1.0796,1.19314,1.28918,0.62262,0.66908,0.66369,0.51009,1.315,1.46368,1.47467,0.007855,0.007855,0.007855
67,6615.86,1.07213,1.20675,1.29035,0.65437,0.66823,0.66474,0.51624,1.35641,1.51118,1.51271,0.007822,0.007822,0.007822
68,6713.78,1.06785,1.18554,1.28282,0.71448,0.64068,0.67575,0.51876,1.31448,1.45157,1.45632,0.007789,0.007789,0.007789
69,6811.48,1.06197,1.15654,1.27912,0.69768,0.6232,0.65317,0.50473,1.33972,1.51163,1.50368,0.007756,0.007756,0.007756
70,6908.39,1.05429,1.17084,1.26904,0.69827,0.63017,0.66877,0.51741,1.33328,1.47478,1.49303,0.007723,0.007723,0.007723
71,7004.74,1.05867,1.15224,1.26595,0.68724,0.65411,0.66812,0.52144,1.30621,1.45384,1.46786,0.00769,0.00769,0.00769
72,7100.87,1.04682,1.14804,1.26793,0.69556,0.63492,0.67199,0.52379,1.31768,1.45305,1.48185,0.007657,0.007657,0.007657
73,7197.42,1.04776,1.14439,1.26478,0.65925,0.60861,0.62369,0.49223,1.4006,1.66737,1.5823,0.007624,0.007624,0.007624
74,7293.75,1.0407,1.12868,1.26095,0.68084,0.65933,0.66783,0.51766,1.3209,1.47893,1.48048,0.007591,0.007591,0.007591
75,7390.31,1.03466,1.11798,1.25189,0.6753,0.6559,0.66207,0.50887,1.32182,1.46227,1.48655,0.007558,0.007558,0.007558
76,7486.65,1.03856,1.11856,1.2528,0.68695,0.64809,0.66527,0.51925,1.29619,1.46546,1.45124,0.007525,0.007525,0.007525
77,7583.19,1.04694,1.13267,1.26673,0.73142,0.62321,0.67445,0.5218,1.30705,1.46109,1.45735,0.007492,0.007492,0.007492
78,7680.05,1.0407,1.11773,1.25615,0.65641,0.65062,0.6512,0.50739,1.31876,1.50798,1.48401,0.007459,0.007459,0.007459
79,7778.52,1.03892,1.13063,1.25915,0.69287,0.64794,0.68318,0.52843,1.30061,1.39656,1.46428,0.007426,0.007426,0.007426
80,7876.61,1.0123,1.08054,1.23915,0.67308,0.65974,0.67261,0.52173,1.30067,1.44551,1.46761,0.007393,0.007393,0.007393
81,7975.45,1.03245,1.09067,1.25163,0.70929,0.66253,0.68519,0.53136,1.30753,1.41954,1.47016,0.00736,0.00736,0.00736
82,8073.8,1.01261,1.07847,1.24364,0.73134,0.63675,0.67052,0.52408,1.32758,1.43212,1.48197,0.007327,0.007327,0.007327
83,8171.33,1.02057,1.06599,1.23532,0.74267,0.62624,0.6716,0.52412,1.31515,1.42367,1.47162,0.007294,0.007294,0.007294
84,8269.79,1.03658,1.09207,1.24948,0.72318,0.62781,0.67063,0.5248,1.30499,1.4827,1.47798,0.007261,0.007261,0.007261
85,8367.09,1.02226,1.08536,1.24695,0.71395,0.65359,0.67952,0.52812,1.30802,1.41823,1.45433,0.007228,0.007228,0.007228
86,8465.58,1.02156,1.05835,1.23679,0.73865,0.64265,0.6746,0.52484,1.30616,1.43017,1.4681,0.007195,0.007195,0.007195
87,8563.36,1.0208,1.07668,1.24244,0.69092,0.64647,0.67329,0.52761,1.3139,1.43122,1.46257,0.007162,0.007162,0.007162
88,8661.46,1.01621,1.05953,1.23407,0.72387,0.65262,0.67641,0.52936,1.29492,1.46012,1.45343,0.007129,0.007129,0.007129
89,8759.31,1.00705,1.03654,1.22761,0.69711,0.66637,0.68128,0.53308,1.28966,1.40305,1.44769,0.007096,0.007096,0.007096
90,8857.65,0.99407,1.03586,1.22688,0.70785,0.65499,0.67378,0.52917,1.28744,1.42473,1.46067,0.007063,0.007063,0.007063
